,username,verified,topic2,topic4,topic13,topic26,topic54
494,@AudreyC_TV,0,1,0,0,0,0
495,@_follow_light_,0,1,0,0,0,0
496,@cali_girl1029,0,0,0,0,0,0
497,@tweetsundr,0,1,0,0,0,0
498,@tgraham1908,0,0,0,0,1,0
499,@KahleyAlan,0,0,1,0,0,0
500,@MoxieNv,0,1,0,0,0,0
501,@AlenJuginovic,0,0,0,0,0,0
502,@RobinGr83805474,0,1,0,0,0,0
503,@lastdays_keith,0,1,0,0,0,0
504,@Jerseymasc908,0,0,0,0,0,0
505,@CaTefertiller,0,1,0,0,0,0
506,@MicheleD2020,0,0,0,0,0,0
507,@LaShondaFelto11,0,0,0,0,0,0
508,@AntonioGiacomoM,0,0,1,0,0,0
509,@BrianKeevan,0,0,0,0,0,0
510,@AlanStump1,0,1,0,0,0,0
511,@InnessGinger,0,1,0,0,0,0
512,@yoindiatv,0,0,0,0,0,0
513,@carolinewarre20,0,0,0,0,0,0
514,@bigcomedown,0,0,0,0,0,0
515,@franstylz,0,0,0,0,0,0
516,@BethSmithKenny,0,0,0,0,0,0
517,@normsb,0,0,0,0,0,0
518,@carrtorr1967,0,1,0,0,0,0
519,@PoliticsOyVey,0,1,0,0,0,0
520,@F3rnMayo,0,1,0,0,0,0
521,@dgdrz1,0,0,0,0,1,0
522,@TeeMichelle57,0,1,0,0,0,0
523,@nolahaynes_,0,0,1,0,0,0
524,@BLobitz,0,1,0,0,0,0
525,@john8jalil,0,1,0,0,0,0
526,@brendafactor2,0,0,0,0,0,0
527,@TreeEyes,0,0,0,0,0,0
528,@B1B_Lancer,0,0,0,0,0,0
529,@KarenSantaFe,0,0,0,0,0,0
530,@evyeniad,0,0,0,0,0,1
531,@lzapp16,0,0,0,0,0,0
532,@JohnKiley14,0,0,0,0,0,0
533,@silicavolcanosi,0,0,0,0,0,0
534,@curiouseisset,0,0,0,0,0,0
535,@MWhite0523,0,0,0,0,0,0
536,@MicheleKaraMor1,0,0,0,0,0,0
537,@CafePreston,0,0,0,0,0,0
538,@t_donaldson101,0,1,0,0,0,0
539,@shore2501,0,1,0,0,0,0
540,@NeilWMcCabe2,0,0,0,0,0,0
541,@juliagarnich,0,0,0,0,0,0
542,@rlscottsr,0,1,0,0,0,0
543,@tomvell,0,1,0,0,0,0
544,@Kimberl71398100,0,0,0,0,0,0
545,@Irvtiki,0,0,0,0,0,0
546,@HainesCaren,0,0,1,0,0,0
547,@melissabischof3,0,0,0,0,0,0
548,@KarenLawrence13,0,0,0,0,0,0
549,@kergarin,0,1,0,0,0,0
550,@nicksilvacastro,0,0,0,0,0,0
551,@theashbhat,0,0,0,0,0,0
552,@SWFLRescueSanct,0,1,0,0,0,0
553,@BrianMa62374950,0,0,0,0,0,0
554,@leaton_kim,0,0,0,0,0,0
555,@benspectrum21,0,0,0,1,0,0
556,@MeierMD,0,0,0,0,0,0
557,@SherylChantal,0,0,0,0,0,0
558,@RedApproves,0,0,1,0,0,0
559,@Truecubbyblue15,0,0,0,0,0,0
560,@ntaylorcollins,0,0,0,0,0,0
561,@anticrooks,0,0,0,0,0,0
562,@srb194750,0,0,0,0,0,0
563,@forcebewithyou1,0,0,0,0,0,0
564,@andreharris89,0,0,1,0,0,0
565,@nav_lcac,0,1,0,0,0,0
566,@pachi1008,0,1,0,0,0,0
567,@808_DEPLORABLE,0,1,0,0,0,0
568,@luuzenit,0,0,0,0,0,0
569,@kellyclose,0,0,0,0,0,0
570,@johnnydesmadre,0,0,0,0,0,0
571,@CharleneFFreem1,0,1,0,0,0,0
572,@Alberto48453306,0,0,0,0,0,0
573,@CarolynSynychak,0,0,0,0,0,0
574,@Robin4ascii,0,0,0,0,0,0
575,@JessicaMooreTV,1,0,0,0,0,0
576,@GeorgiaPolitico,0,1,0,0,0,0
577,@lls6300,0,0,0,0,0,0
578,@calvey_donna,0,0,0,0,1,0
579,@TBerriman,0,0,0,0,0,0
580,@twhitfill,1,0,0,0,0,0
581,@purpledystonia,0,0,0,0,0,0
582,@matthewdoyly,0,0,0,0,1,0
583,@benjamin_79,0,0,0,0,0,0
584,@BarbaraAnneLew2,0,0,0,0,0,0
585,@chickenbaconran,0,1,0,0,0,0
586,@whitwt,0,1,0,0,0,0
587,@sg_andrea,0,0,0,0,0,0
588,@HEELS247365,0,0,0,0,0,0
589,@yinzerchemist,0,1,0,0,0,0
590,@KRCompanion,0,0,0,0,0,0
591,@texmed,1,1,0,0,0,0
592,@steve_kid63,0,0,0,0,0,0
593,@minnivikes,0,1,0,0,0,0
594,@FrMiller,0,0,0,0,0,0
595,@abio1a,0,0,0,0,0,0
596,@DrAlexisMoreno,0,1,0,0,0,0
597,@awilliam76,0,0,1,0,0,0
598,@Blipmaster,0,0,0,0,0,0
599,@nursesantos,0,1,0,0,0,0
600,@TravelingYinzer,0,0,0,0,0,0
601,@thereallcherico,0,1,0,0,0,0
602,@MyBetterHouse,0,0,0,0,0,0
603,@golddustlodge,0,0,0,0,0,0
604,@Jaybuzz617,0,0,0,0,0,0
605,@julieanne117,0,1,0,0,0,0
606,@Dems_Pro_Libs,0,1,0,0,0,0
607,@darrelfun,0,0,0,0,0,0
608,@draggy69,0,0,0,0,0,0
609,@tlugomsw,0,0,0,0,0,0
610,@briscoe_carol,0,0,0,0,0,0
611,@BossyBr00ke,0,0,0,0,0,0
612,@tfrost59,0,0,0,0,0,0
613,@BarbCardell,0,0,0,0,0,0
